Codigo Rude,Genero,Nivel,Curso,Gestion,Promedio,Reprobado,Primer_Anio,Reprobado_siguiente,Reprobaciones_acumuladas,Promedio_ultimos_3,Tendencia_promedio,Variabilidad_promedio,Años_en_sistema,Es_Estudiante_Nuevo,Promedio_global,Mejorando,Delta_promedio,Ratio_reprobacion,Volatilidad_rendimiento,Aceleracion_promedio,Probabilidad_Reprobacion,Nivel_Riesgo
5195000120223086,F,Primario,2do A,2024,62,0,2023,,0,62.0,0.0,0.0,1,0,62.0,0.0,0.0,0.0,0.0,0.0,0.061909011346975726,Bajo
5195000120223342,F,Primario,1ro A,2024,76,0,2024,,0,76.0,0.0,0.0,1,1,76.0,0.0,0.0,0.0,0.0,0.0,0.04374303757708262,Bajo
5195000120223404,F,Primario,1ro A,2024,86,0,2024,,0,86.0,0.0,0.0,1,1,86.0,0.0,0.0,0.0,0.0,0.0,0.04374303757708262,Bajo
5195000120224272,M,Primario,1ro A,2024,69,0,2024,,0,69.0,0.0,0.0,1,1,69.0,0.0,0.0,0.0,0.0,0.0,0.061839283053890436,Bajo
519500012022450A,F,Primario,1ro A,2024,82,0,2024,,0,82.0,0.0,0.0,1,1,82.0,0.0,0.0,0.0,0.0,0.0,0.04374303757708262,Bajo
5195000120225754,M,Primario,2do A,2024,66,0,2023,,0,66.0,0.0,0.0,1,0,66.0,0.0,0.0,0.0,0.0,0.0,0.06010876034231329,Bajo
5195000120226529,M,Primario,1ro A,2024,76,0,2024,,0,76.0,0.0,0.0,1,1,76.0,0.0,0.0,0.0,0.0,0.0,0.04374303757708262,Bajo
5195000120226866,M,Primario,2do A,2024,67,0,2023,,0,67.0,0.0,0.0,1,0,67.0,0.0,0.0,0.0,0.0,0.0,0.06010876034231329,Bajo
5195000120227407,F,Primario,1ro A,2024,65,0,2024,,0,65.0,0.0,0.0,1,1,65.0,0.0,0.0,0.0,0.0,0.0,0.06496737022153545,Bajo
5195000120227750,M,Primario,2do A,2024,64,0,2023,,0,64.0,0.0,0.0,1,0,64.0,0.0,0.0,0.0,0.0,0.0,0.05899194221590181,Bajo
5195000120228217,F,Primario,1ro A,2024,61,0,2024,,0,61.0,0.0,0.0,1,1,61.0,0.0,0.0,0.0,0.0,0.0,0.11839929600987764,Bajo
